 J105443; 1; Z060; Pink Small; 7; 44;; Unknown (R01); Unknown (C311)
 J100744; 1; Z060; Red Giant; 8; 7; Cataclysmic Variable; Unknown (R01); Unknown (C311)
 J225046; 1; Z060; Pink Small; 7; 54;; Unknown (R01); Unknown (C311)
 J160837; 1; Z060; Orange radiant; 8; 51;; Unknown (R01); Unknown (C311)
 J114700; 1; Z060; Pink; 12; 43;; Unknown (R01); Unknown (C311)
 J134914; 1; Z060; Orange radiant; 9; 58;; Unknown (R01); Unknown (C311)
 J102655; 1; Z060; Orange; 9; 42;; Unknown (R01); Unknown (C312)
 J134312; 1; Z060; Orange; 12; 22; Magnetar; Unknown (R01); Unknown (C312)
 J205818; 1; Z060; Pink; 11; 31;; Unknown (R01); Unknown (C312)
 J113434; 1; Z060; Red Giant; 10; 16;; Unknown (R01); Unknown (C312)
 J105711; 1; Z060; Yellow; 9; 35; Cataclysmic Variable; Unknown (R01); Unknown (C312)
 J164218; 1; Z060; Pink; 8; 39;; Unknown (R01); Unknown (C312)
 J154535; 1; Z060; Red Giant; 5; 50; Black Hole; Unknown (R01); Unknown (C312)
 J111301; 1; Z060; Yellow Small; 7; 7; Cataclysmic Variable; Unknown (R01); Unknown (C312)
 J135038; 1; Z060; Red Giant; 6; 54;; Unknown (R01); Unknown (C312)
 J121358; 1; Z060; Yellow Small; 4; 5;; Unknown (R01); Unknown (C312)
 J222914; 1; Z060; Red Giant; 7; 48; Pulsar; Unknown (R01); Unknown (C312)
 J155429; 1; Z060; Orange Bright; 6; 17;; Unknown (R01); Unknown (C312)
 J204640; 1; Z060; Orange radiant; 12; 74; Black Hole; Unknown (R01); Unknown (C313)
 J162604; 1; Z060; Pink; 10; 51;; Unknown (R01); Unknown (C313)
 J164807; 1; Z060; Orange radiant; 8; 29;; Unknown (R01); Unknown (C313)
 J233317; 1; Z060; Yellow Small; 5; 53; Wolf-Rayet Star; Unknown (R01); Unknown (C313)
 J155023; 1; Z060; White; 9; 46;; Unknown (R01); Unknown (C313)
 J112628; 1; Z060; Orange Bright; 8; 53; Wolf-Rayet Star; Unknown (R01); Unknown (C313)
 J153001; 1; Z060; Yellow; 10; 52;; Unknown (R01); Unknown (C313)
 J143204; 1; Z060; Orange radiant; 9; 29;; Unknown (R01); Unknown (C313)
 J101729; 1; Z060; Blue Bright; 7; 47;; Unknown (R01); Unknown (C313)
 J221203; 1; Z060; Yellow Small; 6; 4; Black Hole; Unknown (R01); Unknown (C313)
 J125428; 1; J244; Yellow; 12; 91;; Unknown (R01); Unknown (C314)
 J131854; 1; J244; Red Giant; 8; 63; Black Hole; Unknown (R01); Unknown (C314)
 J160534; 1; J244; Pink Small; 10; 56;; Unknown (R01); Unknown (C314)
 J144855; 1; J244; Red Giant; 8; 27;; Unknown (R01); Unknown (C314)
 J101453; 1; J244; Orange Bright; 9; 13;; Unknown (R01); Unknown (C314)
 J144913; 1; J244; Red Giant; 9; 27;; Unknown (R01); Unknown (C314)
 J144530; 1; J244; Yellow; 7; 19;; Unknown (R01); Unknown (C314)
 J135411; 1; J244; Yellow Small; 11; 63; Magnetar; Unknown (R01); Unknown (C314)
 J125713; 1; J244; White; 9; 65;; Unknown (R01); Unknown (C314)
 J105521; 1; J244; Red Giant; 6; 39; Red Giant; Unknown (R01); Unknown (C314)
 J224324; 1; J244; Orange; 8; 52;; Unknown (R01); Unknown (C315)
 J163203; 1; J244; Blue; 9; 63; Cataclysmic Variable; Unknown (R01); Unknown (C315)
 J171818; 1; J244; Orange radiant; 8; 38; Magnetar; Unknown (R01); Unknown (C315)
 J145337; 1; J244; Orange; 8; 67;; Unknown (R01); Unknown (C315)
 J150131; 1; J244; Pink Small; 10; 68;; Unknown (R01); Unknown (C315)
 J130842; 1; J244; White Dwarf; 8; 59;; Unknown (R01); Unknown (C315)
